Cod_IBGE;Grande região;Município;Mun_Total de casos;Mun_Total de óbitos;;
3552601;Interior;Tabapuã;451;15;;
3552700;Interior;Tabatinga;408;14;;
3552809;RMSP (exceto capital);Taboão da Serra;9407;330;;
3552908;Interior;Taciba;118;2;;
3553005;Interior;Taguaí;443;4;;
3553104;Interior;Taiaçu;212;1;;
3553203;Interior;Taiúva;305;4;;
3553302;Interior;Tambaú;522;12;;
3553401;Interior;Tanabi;1505;30;;
3553500;Interior;Tapiraí;174;4;;
3553609;Interior;Tapiratiba;231;2;;
3553658;Interior;Taquaral;103;2;;
3553708;Interior;Taquaritinga;1330;46;;
3553807;Interior;Taquarituba;531;9;;
3553856;Interior;Taquarivaí;62;2;;
3553906;Interior;Tarabai;249;6;;
3553955;Interior;Tarumã;330;6;;
3554003;Interior;Tatuí;3536;87;;
3554102;Interior;Taubaté;7153;187;;
3554201;Interior;Tejupá;49;0;;
3554300;Interior;Teodoro Sampaio;523;7;;
3554409;Interior;Terra Roxa;304;6;;
3554508;Interior;Tietê;790;25;;
3554607;Interior;Timburi;27;2;;
3554656;Interior;Torre de Pedra;25;2;;
3554706;Interior;Torrinha;196;6;;
3554755;Interior;Trabiju;30;0;;
3554805;Interior;Tremembé;563;2;;
3554904;Interior;Três Fronteiras;270;9;;
3554953;Interior;Tuiuti;66;1;;
3555000;Interior;Tupã;1215;45;;
3555109;Interior;Tupi Paulista;251;3;;
3555208;Interior;Turiúba;52;2;;
3555307;Interior;Turmalina;38;0;;
3555356;Interior;Ubarana;307;5;;
3555406;Interior;Ubatuba;2135;47;;
3555505;Interior;Ubirajara;86;1;;
3555604;Interior;Uchoa;453;10;;
3555703;Interior;União Paulista;83;2;;
3555802;Interior;Urânia;403;15;;
3555901;Interior;Uru;63;3;;
3556008;Interior;Urupês;261;14;;
3556107;Interior;Valentim Gentil;861;14;;
3556206;Interior;Valinhos;3698;119;;
3556305;Interior;Valparaíso;741;20;;
3556354;Interior;Vargem;83;1;;
